# Tier1_sims (Up to date)
# 984 data points written for 2 variables.
#
# Angle of attack (°),Normal force coefficient (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
5.208,0.9
5.25,0.909
5.356,0.933
5.527,0.973
5.7,1.013
5.839,1.047
5.981,1.081
6.163,1.125
6.385,1.18
6.608,1.236
6.687,1.256
6.768,1.277
6.84,1.296
6.904,1.313
6.971,1.33
7.116,1.368
7.263,1.407
7.414,1.448
7.57,1.49
7.727,1.534
7.93,1.59
8.134,1.648
8.369,1.716
8.634,1.793
8.9,1.872
9.122,1.939
9.346,2.008
9.572,2.078
9.8,2.15
10.03,2.224
10.201,2.279
10.376,2.336
10.567,2.4
10.774,2.469
10.984,2.54
11.223,2.622
11.465,2.706
11.659,2.774
11.808,2.827
11.96,2.881
12.201,2.968
12.444,3.057
12.697,3.151
12.96,3.25
13.225,3.35
13.364,3.404
13.508,3.459
13.731,3.546
14.031,3.665
14.331,3.785
14.552,3.874
14.777,3.966
15.004,4.06
15.234,4.156
15.467,4.254
15.729,4.365
15.993,4.479
16.234,4.583
16.454,4.68
16.678,4.779
16.944,4.898
17.212,5.019
17.511,5.155
17.838,5.305
18.163,5.457
18.453,5.594
18.743,5.732
19.024,5.867
19.297,6
19.572,6.134
19.877,6.285
20.182,6.422
20.505,6.558
20.844,6.702
21.179,6.846
21.439,6.959
21.704,7.075
21.998,7.206
22.317,7.348
22.634,7.491
22.919,7.621
23.206,7.754
23.503,7.891
23.808,8.034
24.111,8.177
24.385,8.308
24.665,8.443
24.949,8.58
25.238,8.721
25.533,8.866
25.838,9.017
26.147,9.171
26.464,9.331
26.783,9.493
27.099,9.654
27.411,9.815
# Event APOGEE occurred at t=17.54 seconds
27.721,9.976
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=17.541 seconds
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
# Event SIMULATION_END occurred at t=25.12 seconds
